Artist,Album,EP/LP,Released,Listened,Score,Stars,Re-rate,Vibes
Wishy,Triple Seven,LP,August 16,August 16,5.0,★★★★★,5.00,"dream pop, indie pop, indie rock, shoegaze,"
Kendrick Lamar,GNX,LP,November 22,November 22,4.5,★★★★✬,4.75,"hip-hop, rap, west coast, hip hop,"
Carly Cosgrove ,The Cleanest of Houses Are Empty,LP,June 14,June 20,4.0,★★★★,4.65,"midwest emo, emo-pop, emo,"
Charli XCX,BRAT,LP,June 7,June 7,4.5,★★★★✬,4.62,"pop, synthpop, electronic, female vocalists,"
Glass Beach,Plastic Death,LP,January 19,January 19,4.5,★★★★✬,4.61,"indie rock, emo, power pop, art rock,"
Cassandra Jenkins,"My Light, My Destroyer",LP,July 12,July 12,4.5,★★★★✬,4.59,"folk, singer-songwriter, indie, usa,"
Infant Island,Obsidian Wreath,LP,January 12,January 12,4.5,★★★★✬,4.55,"screamo, post-metal, black metal, hardcore,"
Porridge Radio,Clouds In The Sky They Will Always Be There For Me,LP,October 18,October 18,4.5,★★★★✬,4.54,"post-punk, crank wave, indie rock, art punk,"
Waxahatchee,Tigers Blood,LP,March 22,March 22,4.0,★★★★,4.50,"singer-songwriter, indie, female vocalists, acoustic,"
Magdalena Bay,Imaginal Disk,LP,August 23,August 26,4.5,★★★★✬,4.49,"synthpop, electropop, dream pop, indie pop,"
Two Shell,Two Shell,LP,October 25,October 29,4.5,★★★★✬,4.45,"techno, electronic, dubstep, uk bass,"
Father John Misty,Mahashmashana,LP,November 22,November 25,4.0,★★★★,4.43,"folk, indie, indie folk, alt-country,"
Cold Gawd,I'll Drown On This Earth,LP,August 30,August 30,4.5,★★★★✬,4.42,"shoegaze, alternative rock, noise rock, emo,"
Caribou,Honey,LP,October 4,October 7,4.5,★★★★✬,4.41,"electronic, experimental, indie, canadian,"
And So I Watch You From Afar,Megafauna,LP,August 9,August 9,4.5,★★★★✬,4.40,"post-rock, math rock, instrumental, experimental,"
Frail Body,Artificial Bouquet,LP,March 29,March 29,4.0,★★★★,4.39,"screamo, post-hardcore, emo, hardcore,"
The Cure,Songs Of A Lost World,LP,November 1,November 1,4.5,★★★★✬,4.38,"post-punk, new wave, alternative, 80s,"
"Tyler, The Creator",CHROMAKOPIA,LP,October 28,October 28,4.0,★★★★,4.37,"hip-hop, rap, ofwgkta, underground hip-hop,"
standards,Fruit Galaxy,LP,March 22,August 5,4.0,★★★★,4.36,"math rock, instrumental, rock, indie,"
