Place	Artist	Album	DateListened	Score	Normalized	Stars	Vibes	Image	Writeup
25	Oneohtrix Point Never	Again	September 29	9.0	4.4	★★★★✬	electronic, dark	https://m.media-amazon.com/images/I/61Ui841L-8L.jpg	OPN uses Again to embrace the ambient electronic soundscapes his albums are wont for. But in the crevaces of drum machines and synths lie melodies and motifs that bind the songs together and call forth one's attention in a way standard ambient music cannot.
24	Slowdive	everything is alive	September 5	9.0	4.4	★★★★✬	shoegaze	https://m.media-amazon.com/images/I/91JNcG2B57L.jpg	While I agree this album wasn't as stupendous as their eponymous hiatus ender, Slowdive still continues to perfect the genre they helped found and codify. I find this addition to their canon almost as compelling as the last.
23	Fiddlehead	Death Is Nothing To Us	August 21	9.0	4.4	★★★★✬	emo, hardcore	https://m.media-amazon.com/images/I/91Ax2tJ5PfL.jpg	Massachusetts hardcore outfit Fiddlehead mince no words and waste no time on Death Is Nothing To Us, indulging in the anxiety and reprieve that only the best hardcore bands can summon.
22	The Japanese House	In The End It Always Does	July 5	9.0	4.4	★★★★✬	indie,electronic	https://m.media-amazon.com/images/I/611pxWcH9CL.jpg	The Japanese House has perfected their pop ambitions with In The End It Always Does and put together a salvo of hits in their ephemeral, sunshine-on-a-breezy-day style.
21	Feist	Multitudes	April 14	9.0	4.4	★★★★✬	indie, alternative, pop	https://m.media-amazon.com/images/I/81SZzwkiOIL.jpg	Feist contains Multitudes. But beyond the standard indie pop fare lies an artist who strings together textures seamlessly.
20	Covet	catharsis	April 7	9.0	4.4	★★★★✬	math-rock	https://m.media-amazon.com/images/I/91WQ+qtHrvL.jpg	Yvette Young brings all of her guitar playing virtuoso to bear in catharsis. Melodies move beyond comprehension and the listener is left to wonder how this degree of skill is acquired in a human lifespan, let alone utilized to effectively on an album as pretty and deep as this one.
19	100 gecs	10,000 gecs	March 17	9.0	4.4	★★★★✬	hyperpop,fun,gec	https://m.media-amazon.com/images/I/91QTTTJzp4L.jpg	My achilles heel incarnate, every time something gecs comes out I think to myself "I'm past the gecs, I'm an adult and responsible snake parent, I don't need hyperpop this badly." And I'm wrong; I need this shit, it is full of bangers and silly lines and music that tickles my lizard brain (snakes are lizards). A good time is infectious, and 100 gecs always know how to deliver that have-fun virus.
18	Yo La Tengo	This Stupid World	February 10	9.0	4.4	★★★★✬	90s, discordant, guitar-forward	https://m.media-amazon.com/images/I/91VEUahCBTL.jpg	Love to see YLT back at, a classic band that works together so seamlessly every new album is almost an instant classic for them.
17	Militarie Gun	Life Under The Gun	June 23	9.1	4.6	★★★★✬	post-hardcore	https://f4.bcbits.com/img/a2879944826_16.jpg	All it takes is one minute of listening to Militarie Gun before the first "OOH OOH" shatters your ego and it's all over from there. A band I can't wait to see live and break one of ribs.
16	Cupide & Psyche	Romantic Music	October 24	9.1	4.6	★★★★✬	electronic,indie, chill, shoegaze	https://m.media-amazon.com/images/I/A1Xw+CG3CQL.jpg	Some might say this duo trends closer to dream pop, but for me it feels like The Cure reincarnate. Whistful vocals and otherworldly melodies remind me of classic new wave sounds, and I found this album innately listenable.
15	Olivia Rodrigo	Guts	September 10	9.1	4.6	★★★★✬	pop	https://m.media-amazon.com/images/I/91rzIsvpwjL.jpg	Olivia has done what so many have tried and so few have succeeded at: no longer being a Disney kid. GUTS represents an obvious depature from the mouse, but it really shines as a synthesis of pop and pop-adjacent genres to create an insanely fun and listenable album that trumps every aspect of her first album. 
14	ANOHNI And The Johnsons	My Back Was A Bridge For You To Cross	July 10	9.1	4.6	★★★★✬	indie,experimental	https://m.media-amazon.com/images/I/914Bf5hDLLL.jpg	I've loved ANOHNI since 2016's HOPELESSNESS, and this album uniting with Antony and the Johnsons again filled me with delight. It's a spell-binding and emotionally raw album.
13	Jane Remover	Census Designated	October 25	9.1	4.6	★★★★✬	indie, noise, experimental	https://m.media-amazon.com/images/I/A1f3YS+v-9L.jpg	Arriving at a hodgepodge of discordant shoegaze with insanely distorted instrumentation and hushed vocals, Jane Remover builds a rich but empty void on Census Designated.
12	Sufjan Stevens	Javelin	October 6	9.1	4.6	★★★★✬	indie, beloved	https://m.media-amazon.com/images/I/A1mH2ERj9wL.jpg	It is 2023, I am enraptured by Sufjan's combination of experimentation and personal expression. It is 2015, I am enraptured by Sufjan's combination of experimentation and personal expression. It is 2010, I am enraptured by Sufjan's combination of experimentation and personal expression. The man who defined so many of our quietest moments once again invites us into a world of pain and hurt and has us asking for more.
11	Mitski	The Land Is Inhospitable and So Are We	September 15	9.1	4.6	★★★★✬	indie	https://m.media-amazon.com/images/I/81EdGU1MkWL.jpg	Having matured alongside the earlier Mitski works, I often suffer whiplash from the style of the later releases. Mitski doesn't often reinvent her sound, but every album is an incremental step forward and each one cements her songcraft further.
10	Jeff Rosenstock	HELLMODE	September 5	9.1	4.6	★★★★✬	indie,punk	https://m.media-amazon.com/images/I/61J7xpqGc4L.jpg	Jeff Rosenstock has long since transcended ska punk, finding himself at the nexus of cathartic indie while still mixing the ska-tinged anthems he's known for. Few albums this year have captured the utter chaos we are forced to confront every day, but HELLMODE smashes right into that with enough room to contemplate our deepest of feelings too.
9	Ratboys	The Window	August 25	9.1	4.6	★★★★✬	indie,punk	https://m.media-amazon.com/images/I/81NZX4MYeaL.jpg	This album made me emotionally attached to windows, or maybe just gazing longingly through them.
8	DJ Sabrina The Teenage DJ	Destiny	August 18	9.1	4.6	★★★★✬	pop, dance	https://m.media-amazon.com/images/I/71HLlkJ8ufL.jpg	The most ascendant DJSTTDJ collection, an album of such length and power it transcends the medium, finds Sabrina in the throes of crafting seamless beats for almost four hours. Any song can be played at any moment, which is necessary to try to even fit this album into one's daily life, and a wave of comforting, stimulating dance music will follow. Somehow, inhumanly, full of bangers from start to finish.
7	Home Is Where	the whaler	June 16	9.1	4.6	★★★★✬	emo	https://m.media-amazon.com/images/I/91zvM+SKfEL.jpg	I spent my fair share of the last couple years beating my friends over the head with this band's 2021 EP, I Became Birds. Their first LP, the whaler brings out the expertly-crafted, stochastic emo of Home Is Where to paint portraits of every kind of modern angst.
