Place	Song	Artist	Image	Writeup
50	Love Train	Kylie Minogue	https://ia902600.us.archive.org/26/items/mbid-7c88cc10-33b8-4737-b64c-4da9d24c19d5/mbid-7c88cc10-33b8-4737-b64c-4da9d24c19d5-36788274821_thumb500.jpg	
49	MUD	Slow Pulp	https://ia902609.us.archive.org/1/items/mbid-5d86c6b1-e0bb-4456-8dc2-833847fba3e2/mbid-5d86c6b1-e0bb-4456-8dc2-833847fba3e2-36045002003_thumb500.jpg	
48	Strong	Romy • Fred Again..	https://ia804702.us.archive.org/28/items/mbid-3e20cc98-fa6f-4b9f-8058-c72d03e4d3d1/mbid-3e20cc98-fa6f-4b9f-8058-c72d03e4d3d1-34125931482_thumb500.jpg	
47	Scapa Flow	Drop Nineteens	https://ia802701.us.archive.org/19/items/mbid-3c3c25e1-416a-40f7-8ca0-71657006d8fb/mbid-3c3c25e1-416a-40f7-8ca0-71657006d8fb-37149896575_thumb500.jpg	
46	Rural Radio Predicts The Rapture	Bombay Bicycle Club	https://ia802705.us.archive.org/11/items/mbid-b4cf82a2-65c5-4bd3-a98d-367b0216e465/mbid-b4cf82a2-65c5-4bd3-a98d-367b0216e465-35923940718_thumb500.jpg	
45	Evergreen	Wye Oak	https://ia601609.us.archive.org/21/items/mbid-ded8e540-b099-4ca6-a110-2528ad95edcf/mbid-ded8e540-b099-4ca6-a110-2528ad95edcf-35485530961_thumb500.jpg	
44	Boy's A Liar Pt. 2	Pink Pantheress • Ice Spice	https://ia804702.us.archive.org/6/items/mbid-4c0745ae-adfb-4fd8-9429-4315ca9e9f1a/mbid-4c0745ae-adfb-4fd8-9429-4315ca9e9f1a-34819509169_thumb500.jpg	
43	Old Death	Car Colors	https://ia801202.us.archive.org/26/items/mbid-78e68fb2-cc98-4281-9ef1-cbe1ea724d71/mbid-78e68fb2-cc98-4281-9ef1-cbe1ea724d71-37271085424_thumb500.jpg	
42	Knockin'	MJ Lenderman	https://ia902706.us.archive.org/23/items/mbid-79406c01-ce34-44e7-acdd-ca6ab7d57301/mbid-79406c01-ce34-44e7-acdd-ca6ab7d57301-36390172541_thumb500.jpg	
41	Am I Dreaming?	Metro Boomin • A$AP Rocky • Roisee	https://ia802608.us.archive.org/17/items/mbid-72a73259-c593-4503-a889-9bf1b5e10874/mbid-72a73259-c593-4503-a889-9bf1b5e10874-35816827255_thumb500.jpg	
40	Sasquatch .22	Bay Faction	https://ia801603.us.archive.org/28/items/mbid-c89a2533-4e91-4702-83d1-086468beaf25/mbid-c89a2533-4e91-4702-83d1-086468beaf25-34993588929_thumb500.jpg	
39	Anxiety's Rainbow	Cupid & Psyche	https://m.media-amazon.com/images/I/A1Xw+CG3CQL.jpg	
38	Sleepyhead	Fiddlehead	https://m.media-amazon.com/images/I/91Ax2tJ5PfL.jpg	
37	When we were that what wept for the sea	Colin Stetson	https://ia902600.us.archive.org/14/items/mbid-da12ee3e-ae10-4de8-9aee-2341a9769b00/mbid-da12ee3e-ae10-4de8-9aee-2341a9769b00-35355766951_thumb500.jpg	
36	This Year	Emily King	https://m.media-amazon.com/images/I/71Fatq3ZtvL.jpg	
35	WILL U STILL U	Jeff Rosenstock	https://m.media-amazon.com/images/I/61J7xpqGc4L.jpg	
34	Madonna	Kevin Abstract	https://ia601701.us.archive.org/19/items/mbid-4870af69-8a3f-4919-bb7c-eb6f6242cf55/mbid-4870af69-8a3f-4919-bb7c-eb6f6242cf55-37148475262_thumb500.jpg	
33	Brain Capers	Yo La Tengo	https://ia904708.us.archive.org/12/items/mbid-1443c629-5db2-45f3-b808-5be504d247d6/mbid-1443c629-5db2-45f3-b808-5be504d247d6-34951183218_thumb500.jpg	
32	Kill Her Freak Out	Samia	https://ia601401.us.archive.org/9/items/mbid-5b8eb63e-471f-45b9-8a31-e584daf411d2/mbid-5b8eb63e-471f-45b9-8a31-e584daf411d2-34125813597_thumb500.jpg	
31	Immortal	Thy Slaughter	https://ia800503.us.archive.org/0/items/mbid-1d67d29a-3a43-4c36-83c9-b7495b9331f6/mbid-1d67d29a-3a43-4c36-83c9-b7495b9331f6-37322181072_thumb500.jpg	
30	Tell Me	James Blake	https://ia800504.us.archive.org/33/items/mbid-df740940-8f78-40e1-a45e-a737ca6d5161/mbid-df740940-8f78-40e1-a45e-a737ca6d5161-36659306967_thumb500.jpg	
29	Can I Talk My Shit?	Vagabon	https://ia600508.us.archive.org/33/items/mbid-51a6a59b-a3d6-4147-9c81-4d1bd78a2f4d/mbid-51a6a59b-a3d6-4147-9c81-4d1bd78a2f4d-36586144741_thumb500.jpg	
