Place	Song	Artist	Writeup	Image
50	Porter Robinson	KNOCK YOURSELF OUT XD		https://a1.mzstatic.com/r40/Music221/v4/1d/5e/1f/1d5e1f55-bcbe-4947-9823-0ccb9b0c4afa/810090094991.png
49	Father John Misty	Screamland		https://f4.bcbits.com/img/a1088809017_0.jpg
48	Alcest	Flamme Jumelle		https://a1.mzstatic.com/r40/Music211/v4/a1/1d/0f/a11d0f1b-bc29-61c2-93d4-5474e3f2fc7a/cover.jpg
47	Drug Church	Myopic		https://a1.mzstatic.com/r40/Music116/v4/c1/f7/a6/c1f7a642-0ab3-b494-8659-caea26b69a2a/197188075125.jpg
46	Foxing	Hell 99		https://m.media-amazon.com/images/I/916q7dROv8L.jpg
45	Fontaines D.C.	Starburster		https://geo-media.beatport.com/image_size/0x0/f15dfe14-87a5-4d55-a6cc-e4547a28017f.jpg
44	Jamie xx, Honey Dijon	Baddy On The Floor		https://m.media-amazon.com/images/I/81VwgIA2i5L.jpg
43	Faye Webster, Lil Yachty	Lego Ring		https://ia801308.us.archive.org/14/items/mbid-bb176b99-e93c-44b4-a265-220fabc60b4a/mbid-bb176b99-e93c-44b4-a265-220fabc60b4a-37856094365.jpg
42	They Are Gutting a Body of Water, Greg Mendez, SUN ORGAN	krillin		https://a1.mzstatic.com/r40/Music112/v4/6e/25/da/6e25da45-6758-e8af-c581-2416f0c63782/8721056735242.png
41	Hey, Ily	The Impending Dissolve of Hey, ily!		https://a1.mzstatic.com/r40/Music221/v4/23/8a/26/238a266b-6426-c699-f02b-700f3f13f6ef/artwork.jpg
40	Doechii	NISSAN ALTIMA		https://m.media-amazon.com/images/I/71gfky9km4L.jpg
39	Origami Angel	Dirty Mirror Selfie		https://a1.mzstatic.com/r40/Music211/v4/c6/57/37/c6573769-732c-55a4-2d33-8b55b15b2fc3/198588291221.jpg
38	Two Shell	be gentle with me		https://m.media-amazon.com/images/I/91vFgbWHAOL.jpg
37	Tycho	Consciousness Felt		https://a1.mzstatic.com/r40/Music221/v4/bf/c7/f6/bfc7f6e4-a0ae-88a7-c93d-bd66576c272d/5054429195170.png
