Rank	Songs_Artist	Songs_Title	Words	Picture
1	Cold Gawd	All My Life, My Heart Has Yearned For A Thing I Cannot Name		https://image.bugsm.co.kr/album/images/original/206488/20648889.jpg
2	Waxahatchee	Right Back To It		https://a1.mzstatic.com/r40/Music126/v4/dc/95/97/dc9597a1-3479-f780-8c51-bfe91236fa09/0045778786060.png
3	Fred again..	glow		https://m.media-amazon.com/images/I/71FcHehix2L.jpg
4	Carly Cosgrove	You Old Dog		https://m.media-amazon.com/images/I/81UbNY8J31L.jpg
5	Wishy	Just Like Sunday		https://f4.bcbits.com/img/a3839505445_0.jpg
6	Charli XCX	360		https://a1.mzstatic.com/r40/Music211/v4/7e/d5/09/7ed50926-eadd-40a8-cf87-85c17f212bb4/075679634283.jpg
7	Caribou	Broke My Heart		https://f4.bcbits.com/img/a1919331232_0.jpg
8	Porridge Radio	God of Everything Else		https://a1.mzstatic.com/r40/Music221/v4/c7/ea/b9/c7eab902-d1e2-4e8e-007a-297082516e7f/47220.jpg
9	Infant Island	Amaranthine		https://m.media-amazon.com/images/I/81mPXJHgtFL.jpg
10	Charly Bliss	Back There Now		https://m.media-amazon.com/images/I/81aUR6qV23L.jpg
11	Mannequin Pussy	Loud Bark		https://m.media-amazon.com/images/I/81AExz84g6L.jpg
12	Cassandra Jenkins	Omakase		https://image.bugsm.co.kr/album/images/original/206543/20654343.jpg
13	Sabrina Carpenter	Espresso		https://m.media-amazon.com/images/I/71UityPO-OL.jpg
14	Lip Critic	In the Wawa (Convinced I Am God)		https://image.bugsm.co.kr/album/images/original/346579/34657987.jpg
15	Caroline Polachek	Spring Is Coming With A Strawberry In The Mouth		https://a1.mzstatic.com/r40/Music122/v4/37/74/df/3774df30-e827-1f2b-507e-abd6a8c641de/198391271656.jpg
16	Celebration Guns	Trying Is Hard		https://a1.mzstatic.com/r40/Music126/v4/35/8e/b0/358eb0f5-2846-543c-45c5-7d813c25d826/197999548306_cover.jpg
17	Frail Body	Refrain		https://m.media-amazon.com/images/I/91cJFLJftdL.jpg
18	Story So Far	All This Time		https://m.media-amazon.com/images/I/71A0msnqRQL.jpg
19	A.G. Cook	Lucifer		https://f4.bcbits.com/img/a3214401915_0.jpg
20	Kendrick Lamar	tv off (feat. Lefty Gunplay)		https://m.media-amazon.com/images/I/61RmVkSbP7L.jpg
21	Courting	We Look Good Together (Big Words)		https://image.bugsm.co.kr/album/images/original/336473/33647384.jpg
22	GloRilla	Wanna Be (with Megan Thee Stallion)		https://image.bugsm.co.kr/album/images/original/346731/34673122.jpg
23	Wavedash	SKYFALLING		https://f4.bcbits.com/img/a0730294456_0.jpg
24	Magdalena Bay	Death & Romance		https://geo-media.beatport.com/image_size/0x0/fc675eca-bb83-40d9-a4dc-5106d988f85a.jpg
25	Standards	Cosmos		https://m.media-amazon.com/images/I/81dDU0kBiSL.jpg
26	Gulfer	Crash		https://a1.mzstatic.com/r40/Music221/v4/4c/35/6a/4c356ae8-27c5-8205-d87c-ef51dd0cbe35/103546.jpg
27	Glass Beach	puppy		https://f4.bcbits.com/img/a0393751413_0.jpg
28	Joey Valence & Brae	THE BADDEST		https://f4.bcbits.com/img/a3637369835_0.jpg
29	Hovvdy	Bad News		https://m.media-amazon.com/images/I/719v+WTRD2L.jpg
30	Anxious	Head & Spine		https://f4.bcbits.com/img/a3261204719_0.jpg
31	Rosie Tucker	Unending Bliss		https://m.media-amazon.com/images/I/91sZYB81U+L.jpg
32	ITZY	No Biggie		https://image.bugsm.co.kr/album/images/original/206405/20640573.jpg
33	Autre Ne Veut	About To Lose		https://a1.mzstatic.com/r40/Music211/v4/30/3a/4e/303a4e4e-6c0c-129f-e1d5-dff6c4bd2a04/198542968145-copy-49df96a1.png
34	Vampire Weekend	Capricorn		https://image.bugsm.co.kr/album/images/original/341912/34191248.jpg
35	Addison Rae	Diet Pepsi		https://a1.mzstatic.com/r40/Music221/v4/01/ef/7a/01ef7a06-1b48-0460-efbf-983d6a0a37fa/196872309959.jpg
36	Tyler, The Creator	STICKY (feat. GloRilla, Sexyy Red & Lil Wayne)		https://a1.mzstatic.com/r40/Music221/v4/7d/bd/e9/7dbde97e-b97d-8cc3-0203-218b687408a9/196872555059.jpg
37	Tycho	Consciousness Felt		https://a1.mzstatic.com/r40/Music221/v4/bf/c7/f6/bfc7f6e4-a0ae-88a7-c93d-bd66576c272d/5054429195170.png
38	Two Shell	be gentle with me		https://m.media-amazon.com/images/I/91vFgbWHAOL.jpg
39	Origami Angel	Dirty Mirror Selfie		https://a1.mzstatic.com/r40/Music211/v4/c6/57/37/c6573769-732c-55a4-2d33-8b55b15b2fc3/198588291221.jpg
40	Doechii	NISSAN ALTIMA		https://m.media-amazon.com/images/I/71gfky9km4L.jpg
41	Hey, Ily	The Impending Dissolve of Hey, ily!		https://a1.mzstatic.com/r40/Music221/v4/23/8a/26/238a266b-6426-c699-f02b-700f3f13f6ef/artwork.jpg
42	They Are Gutting a Body of Water	krillin		https://a1.mzstatic.com/r40/Music112/v4/6e/25/da/6e25da45-6758-e8af-c581-2416f0c63782/8721056735242.png
43	Faye Webster	Lego Ring		https://ia801308.us.archive.org/14/items/mbid-bb176b99-e93c-44b4-a265-220fabc60b4a/mbid-bb176b99-e93c-44b4-a265-220fabc60b4a-37856094365.jpg
44	Jamie xx	Baddy On The Floor		https://m.media-amazon.com/images/I/81VwgIA2i5L.jpg
45	Fontaines D.C.	Starburster		https://geo-media.beatport.com/image_size/0x0/f15dfe14-87a5-4d55-a6cc-e4547a28017f.jpg
46	Foxing	Hell 99		https://m.media-amazon.com/images/I/916q7dROv8L.jpg
47	Drug Church	Myopic		https://a1.mzstatic.com/r40/Music116/v4/c1/f7/a6/c1f7a642-0ab3-b494-8659-caea26b69a2a/197188075125.jpg
48	Alcest	Flamme Jumelle		https://a1.mzstatic.com/r40/Music211/v4/a1/1d/0f/a11d0f1b-bc29-61c2-93d4-5474e3f2fc7a/cover.jpg
49	Father John Misty	Screamland		https://f4.bcbits.com/img/a1088809017_0.jpg
